QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	
org.tribuo.anomaly.AnomalyFactory	AnomalyFactory	low	low-medium	low	low	7	5	0	0	0	6	50	18	0	5	5	0	0	1.1	0.4	1.0	0	0.0	
org.tribuo.anomaly.AnomalyInfo	AnomalyInfo	low	low	low-medium	low	5	10	0	0	2	13	59	33	3	1	10	0	0	0.688	0.6	0.893	0	0.0	
org.tribuo.anomaly.Event	Event	low	low	low-medium	low-medium	0	7	0	0	0	13	53	21	2	2	7	0	0	0.75	0.607	0.381	0	0.0	
org.tribuo.anomaly.ImmutableAnomalyInfo	ImmutableAnomalyInfo	low	low	low	low	3	7	2	1	0	7	29	20	0	1	5	0	0	0.0	0.6	0.0	1	0.0	
org.tribuo.anomaly.MutableAnomalyInfo	MutableAnomalyInfo	low	low	low	low	3	6	1	1	0	8	28	26	0	1	5	0	0	0.0	0.533	0.0	1	0.0	
<Package>org.tribuo.anomaly.evaluation	org.tribuo.anomaly.evaluation	low	low	low-medium	low						25	191												
org.tribuo.anomaly.evaluation.AnomalyEvaluation	AnomalyEvaluation	low	low	low	low	0	7	0	1	1	8	9	7	0	0	7	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.anomaly.evaluation.AnomalyEvaluationImpl	AnomalyEvaluationImpl	low	low	low-medium	low	5	13	4	0	0	9	71	27	2	0	9	0	0	0.0	0.444	1.0	0	0.0	
org.tribuo.anomaly.evaluation.AnomalyEvaluator	AnomalyEvaluator	low	low	low	low	0	0	0	1	0	0	20	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.anomaly.evaluation.AnomalyMetric	AnomalyMetric	low	low	low-medium	low	1	2	0	0	0	2	76	6	1	0	2	0	0	0.0	0.25	0.0	0	0.0	
org.tribuo.anomaly.evaluation.AnomalyMetrics	AnomalyMetrics	low	low	low	low	1	1	0	0	0	1	15	2	1	7	1	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.anomaly.example	org.tribuo.anomaly.example	low	low	low	low						14	137												
org.tribuo.anomaly.example.AnomalyDataGenerator	AnomalyDataGenerator	low	low-medium	low-medium	low	7	16	4	0	0	14	137	127	0	1	0	8	0	0.0	0.5	0.893	0	0.0	
<Package>org.tribuo.anomaly.liblinear	org.tribuo.anomaly.liblinear	low	low	low	low						26	165												
org.tribuo.anomaly.liblinear.LibLinearAnomalyModel	LibLinearAnomalyModel	low-medium	medium-high	low-medium	low	10	5	3	2	0	7	71	36	0	1	3	0	0	0.0	0.333	0.0	2	0.0	
org.tribuo.anomaly.liblinear.LibLinearAnomalyTrainer	LibLinearAnomalyTrainer	low	low-medium	low	low-medium	10	15	6	1	0	9	46	29	1	0	7	0	0	0.0	0.653	1.0	1	0.0	
org.tribuo.anomaly.liblinear.LibLinearAnomalyTrainerTest	LibLinearAnomalyTrainerTest	low	low-medium	low	low	9	15	10	0	0	1	19	17	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.anomaly.liblinear.LinearAnomalyType	LinearAnomalyType	low	low	low	low	2	8	1	0	0	7	29	18	1	1	7	0	0	1.0	0.429	0.933	1	0.0	
<Package>org.tribuo.anomaly.libsvm	org.tribuo.anomaly.libsvm	low	low	low	low						22	117												
