QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	
org.tribuo.classification.sequence.ConfidencePredictingSequenceModel	ConfidencePredictingSequenceModel	low	low	low	low	0	0	0	1	1	0	27	0	0	1	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sequence.LabelSequenceEvaluation	LabelSequenceEvaluation	low-medium	low-medium	low-medium	low-medium	8	35	6	0	0	30	123	64	3	0	30	0	0	1.0	0.7	0.997	0	0.0	
org.tribuo.classification.sequence.LabelSequenceEvaluator	LabelSequenceEvaluator	low	low	low	low	0	0	0	1	0	0	47	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sequence.SeqTrainTest	SeqTrainTest	low	low	low-medium	low	0	0	0	0	0	0	70	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.sequence.example	org.tribuo.classification.sequence.example	low	low	low	low						8	94												
org.tribuo.classification.sequence.example.SequenceDataGenerator	SequenceDataGenerator	low	low-medium	low-medium	low	8	8	3	0	0	8	94	92	0	1	1	6	0	0.0	0.429	1.0	0	0.0	
<Package>org.tribuo.classification.sequence.viterbi	org.tribuo.classification.sequence.viterbi	low	low-medium	medium-high	low						19	286												
org.tribuo.classification.sequence.viterbi.DefaultFeatureExtractor	DefaultFeatureExtractor	low	low	low-medium	low	1	3	0	0	0	3	54	11	5	1	3	0	0	0.0	0.444	1.0	0	0.0	
org.tribuo.classification.sequence.viterbi.DefaultOutcomeFeatureExtractorTest	DefaultOutcomeFeatureExtractorTest	low	low	low	low	3	1	0	0	0	1	26	25	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sequence.viterbi.LabelFeatureExtractor	LabelFeatureExtractor	low	low	low	low	0	0	0	1	2	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sequence.viterbi.NoopFeatureExtractor	NoopFeatureExtractor	low	low	low	low	1	1	0	0	0	1	11	3	0	1	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sequence.viterbi.ViterbiModel	ViterbiModel	low	low	low-medium	low	2	2	0	1	0	2	104	4	4	1	2	0	0	1.6	0.0	1.0	0	0.0	
org.tribuo.classification.sequence.viterbi.ViterbiModelTest	ViterbiModelTest	low	low	low	low	1	1	0	0	0	1	14	13	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sequence.viterbi.ViterbiTrainer	ViterbiTrainer	low	low	low-medium	low	5	5	0	0	0	5	60	16	5	0	5	0	0	1.0	0.52	1.0	0	0.0	
org.tribuo.classification.sequence.viterbi.ViterbiTrainerOptions	ViterbiTrainerOptions	low	low-medium	low	low	6	1	0	0	0	2	15	5	3	0	1	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.sgd	org.tribuo.classification.sgd	low	low	low-medium	low						6	127												
org.tribuo.classification.sgd.LabelObjective	LabelObjective	low	low	low	low	3	3	0	1	2	4	8	3	0	0	3	0	0	0.0	0.444	0.0	0	0.0	
org.tribuo.classification.sgd.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	17	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sgd.Util	Util	low	low	low-medium	low	0	0	0	0	0	0	102	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.sgd.crf	org.tribuo.classification.sgd.crf	low	low-medium	medium-high	low						115	749												
org.tribuo.classification.sgd.crf.CRFModel	CRFModel	low-medium	low-medium	low-medium	low	9	18	10	2	0	22	169	70	2	1	2	4	0	0.1333	0.5	1.0	2	0.0	
org.tribuo.classification.sgd.crf.CRFOptions	CRFOptions	low	low	low	low	2	5	1	0	0	1	12	2	5	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sgd.crf.CRFParameters	CRFParameters	low-medium	medium-high	low-medium	low	12	44	19	0	0	31	155	134	6	2	14	0	0	0.773	0.5	0.628	0	0.0	
org.tribuo.classification.sgd.crf.CRFTrainer	CRFTrainer	low	low	low-medium	low	3	8	1	0	0	8	110	23	7	0	8	0	0	0.952	0.55	0.952	0	0.0	
org.tribuo.classification.sgd.crf.CRFTrainerTest	CRFTrainerTest	low	low-medium	low	low	5	12	3	0	0	5	34	31	0	2	4	1	0	0.0	0.0	1.0	0	0.0	
org.tribuo.classification.sgd.crf.ChainHelper	ChainHelper	low-medium	low	low-medium	low	2	18	13	0	0	43	154	129	0	0	1	5	0	0.0	0.6	0.0	0	0.0	
org.tribuo.classification.sgd.crf.Chunk	Chunk	low	low	low	low	0	2	0	0	0	2	8	5	2	0	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sgd.crf.SeqTest	SeqTest	low	low	low-medium	low	0	0	0	0	0	0	107	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.sgd.kernel	org.tribuo.classification.sgd.kernel	low	low	low-medium	low						25	264												
org.tribuo.classification.sgd.kernel.KernelSVMModel	KernelSVMModel	low	low-medium	low	low	8	17	9	1	0	6	47	23	3	1	2	0	0	1.0	0.25	0.0	1	0.0	
org.tribuo.classification.sgd.kernel.KernelSVMOptions	KernelSVMOptions	low	low-medium	low	low	6	1	0	0	0	5	49	26	8	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sgd.kernel.KernelSVMTrainer	KernelSVMTrainer	low	low	low-medium	low-medium	3	7	1	0	0	7	109	21	7	0	7	0	0	0.952	0.619	0.933	0	0.0	
org.tribuo.classification.sgd.kernel.TestSGDKernel	TestSGDKernel	low	low-medium	low	low	6	28	8	0	0	7	44	42	0	1	5	2	0	0.0	0.429	1.0	0	0.0	
org.tribuo.classification.sgd.kernel.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	15	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.sgd.linear	org.tribuo.classification.sgd.linear	low	low	low-medium	low						22	172												
org.tribuo.classification.sgd.linear.LinearSGDModel	LinearSGDModel	low-medium	low-medium	low	low	9	15	5	3	0	3	39	17	2	1	1	0	0	0.0	0.0	0.0	1	0.0	
org.tribuo.classification.sgd.linear.LinearSGDOptions	LinearSGDOptions	low	low	low	low	5	6	2	0	0	4	26	12	6	0	2	0	0	1.0	0.0	1.0	0	0.0	
org.tribuo.classification.sgd.linear.LinearSGDTrainer	LinearSGDTrainer	low-medium	low	low	low	3	5	0	2	1	5	28	12	1	0	5	0	0	0.0	0.32	1.0	0	0.0	
org.tribuo.classification.sgd.linear.LogisticRegressionTrainer	LogisticRegressionTrainer	low-medium	low	low	low	3	1	0	3	0	1	4	2	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.sgd.linear.TestSGDLinear	TestSGDLinear	low	medium-high	low-medium	low	14	35	15	0	0	9	75	55	0	1	6	2	0	0.0	0.437	1.0	1	0.0	
<Package>org.tribuo.classification.sgd.objectives	org.tribuo.classification.sgd.objectives	low	low	low	low						11	71												
org.tribuo.classification.sgd.objectives.Hinge	Hinge	low	low	low	low-medium	5	6	0	0	0	6	45	17	1	0	6	0	0	0.0	0.625	1.0	0	0.0	
org.tribuo.classification.sgd.objectives.LogMulticlass	LogMulticlass	low	low	low	low	5	5	0	0	0	5	26	14	1	0	5	0	0	0.0	0.533	1.0	0	0.0	
<Package>org.tribuo.classification.xgboost	org.tribuo.classification.xgboost	low	low-medium	low-medium	low						38	318												
org.tribuo.classification.xgboost.TestXGBoost	TestXGBoost	low	medium-high	low-medium	medium-high	16	40	19	0	0	19	134	101	0	5	12	1	0	0.84	0.744	0.722	1	0.0	
org.tribuo.classification.xgboost.TestXGBoostExternalModel	TestXGBoostExternalModel	low	medium-high	low	low	11	8	6	0	0	6	41	40	0	0	2	0	0	0.0	0.0	0.0	1	0.0	
org.tribuo.classification.xgboost.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	15	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.xgboost.XGBoostClassificationConverter	XGBoostClassificationConverter	low	low	low	low	0	2	0	0	0	2	41	4	0	1	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.xgboost.XGBoostClassificationTrainer	XGBoostClassificationTrainer	low	low-medium	low	low-medium	6	8	2	1	0	8	47	20	0	0	7	0	0	0.0	0.643	0.0	0	0.0	
org.tribuo.classification.xgboost.XGBoostOptions	XGBoostOptions	low	low	low	low	4	1	0	0	0	3	40	8	15	0	1	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.clustering	org.tribuo.clustering	low	low	low-medium	low						42	216												
org.tribuo.clustering.ClusterID	ClusterID	low	low	low	low-medium	0	7	0	0	0	11	43	20	2	2	7	0	0	0.75	0.607	0.381	0	0.0	
org.tribuo.clustering.ClusteringFactory	ClusteringFactory	low	low-medium	low	low	6	7	0	0	0	7	50	19	0	4	7	0	0	0.1125	0.429	1.0	0	0.0	
org.tribuo.clustering.ClusteringInfo	ClusteringInfo	low	low	low-medium	low	4	7	0	0	2	7	55	18	1	1	7	0	0	0.0	0.429	1.0	0	0.0	
org.tribuo.clustering.ImmutableClusteringInfo	ImmutableClusteringInfo	low	low	low	low	1	6	1	1	0	7	48	21	0	1	5	0	1	0.0	0.6	0.0	1	0.2	
org.tribuo.clustering.MutableClusteringInfo	MutableClusteringInfo	low	low	low	low	3	7	2	1	0	6	20	18	0	1	5	0	0	0.0	0.533	0.0	1	0.0	
<Package>org.tribuo.clustering.evaluation	org.tribuo.clustering.evaluation	low	low	low-medium	low						12	147												
org.tribuo.clustering.evaluation.ClusteringEvaluation	ClusteringEvaluation	low	low	low	low	0	2	0	1	1	2	3	2	0	0	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.clustering.evaluation.ClusteringEvaluationImpl	ClusteringEvaluationImpl	low	low-medium	low	low	7	8	4	0	0	4	32	13	2	0	4	0	0	0.0	0.5	1.0	0	0.0	
org.tribuo.clustering.evaluation.ClusteringEvaluator	ClusteringEvaluator	low	low	low	low	0	0	0	1	0	0	16	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.clustering.evaluation.ClusteringMetric	ClusteringMetric	low	low	low	low	1	2	0	0	0	2	46	6	1	0	2	0	0	0.0	0.25	0.0	0	0.0	
org.tribuo.clustering.evaluation.ClusteringMetrics	ClusteringMetrics	low	low	low	low	3	3	0	0	0	4	50	14	0	2	1	2	0	0.0	0.333	1.0	0	0.0	
<Package>org.tribuo.clustering.example	org.tribuo.clustering.example	low	low	low	low						9	129												
org.tribuo.clustering.example.ClusteringDataGenerator	ClusteringDataGenerator	low	medium-high	low-medium	low	12	18	5	0	0	9	129	127	0	1	0	7	0	0.0	0.524	0.857	0	0.0	
<Package>org.tribuo.clustering.kmeans	org.tribuo.clustering.kmeans	low	low	low-medium	low						41	411												
org.tribuo.clustering.kmeans.KMeansModel	KMeansModel	low	low-medium	low-medium	low	6	19	7	1	0	9	59	30	2	1	2	0	0	1.0	0.25	0.0	0	0.0	
org.tribuo.clustering.kmeans.KMeansOptions	KMeansOptions	low	low	low	low	3	1	0	0	0	1	17	3	6	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.clustering.kmeans.KMeansTrainer	KMeansTrainer	low	low-medium	low-medium	medium-high	7	19	5	0	0	12	211	43	7	0	7	2	0	0.929	0.728	0.933	0	0.0	
org.tribuo.clustering.kmeans.TestKMeans	TestKMeans	low	low-medium	low-medium	low	8	43	15	0	0	18	82	77	0	2	14	4	0	0.556	0.537	0.869	0	0.0	
org.tribuo.clustering.kmeans.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	42	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.common.liblinear	org.tribuo.common.liblinear	low	low	low	low						17	132												
org.tribuo.common.liblinear.LibLinearModel<T>	LibLinearModel	low	low	low	low	3	3	0	1	3	4	35	11	0	1	2	1	1	0.0	0.5	0.0	0	0.5	
org.tribuo.common.liblinear.LibLinearTrainer<T>	LibLinearTrainer	low	low-medium	low-medium	low-medium	10	11	3	0	3	9	92	26	7	0	9	0	0	0.714	0.683	1.0	0	0.0	
org.tribuo.common.liblinear.LibLinearType<T>	LibLinearType	low	low	low	low	1	4	0	1	3	4	5	4	0	0	4	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.common.libsvm	org.tribuo.common.libsvm	low	low	low-medium	low						57	308												
org.tribuo.common.libsvm.KernelType	KernelType	low	low	low	low	0	3	0	0	0	7	22	16	1	4	2	1	0	0.9	0.167	1.0	0	0.0	
org.tribuo.common.libsvm.LibSVMModel<T>	LibSVMModel	low	low	low	low	3	2	1	1	3	15	50	29	0	1	0	1	0	0.0	0.0	0.0	0	0.0	
org.tribuo.common.libsvm.LibSVMTrainer<T>	LibSVMTrainer	low	medium-high	low-medium	low-medium	11	15	7	0	3	10	119	42	14	0	8	0	0	0.667	0.65	1.0	2	0.0	
org.tribuo.common.libsvm.SVMParameters<T>	SVMParameters	low	low	low-medium	medium-high	3	18	4	0	0	20	111	66	3	1	13	1	0	0.729	0.714	0.352	1	0.0	
org.tribuo.common.libsvm.SVMType<T>	SVMType	low	low	low	low	0	5	0	1	3	5	6	5	0	0	5	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.common.nearest	org.tribuo.common.nearest	low	low	low-medium	low						19	359												
org.tribuo.common.nearest.KNNClassifierOptions	KNNClassifierOptions	low	low-medium	low	low	6	2	1	0	0	4	26	11	5	0	2	0	0	1.0	0.0	0.0	0	0.0	
org.tribuo.common.nearest.KNNModel<T>	KNNModel	low	low-medium	low-medium	low	6	5	1	1	0	6	283	28	6	1	1	0	1	0.0	0.0	0.0	0	1.0	
org.tribuo.common.nearest.KNNTrainer<T>	KNNTrainer	low	low	low	low-medium	4	5	1	0	0	6	50	18	6	0	5	0	0	0.917	0.64	0.833	0	0.0	
<Package>org.tribuo.common.sgd	org.tribuo.common.sgd	low	low	low-medium	low						18	231												
org.tribuo.common.sgd.AbstractLinearSGDModel<T>	AbstractLinearSGDModel	low-medium	low	low-medium	low	2	3	2	2	3	1	56	2	0	1	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.common.sgd.AbstractLinearSGDTrainer<T,U>	AbstractLinearSGDTrainer	low	low	low	low	1	2	0	1	3	2	10	4	0	0	2	0	0	0.0	0.375	0.0	0	0.0	
org.tribuo.common.sgd.AbstractSGDModel<T>	AbstractSGDModel	low	low-medium	low	low	6	10	7	1	1	4	27	11	2	1	2	0	0	1.0	0.25	0.0	0	0.0	
org.tribuo.common.sgd.AbstractSGDTrainer<T,U,V,X>	AbstractSGDTrainer	low	low-medium	low-medium	medium-high	6	9	1	0	1	9	136	26	8	0	9	0	0	0.938	0.75	1.0	0	0.0	
org.tribuo.common.sgd.SGDObjective<T>	SGDObjective	low	low	low	low	2	1	0	1	3	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.common.tree	org.tribuo.common.tree	low	low-medium	medium-high	low						82	486												
org.tribuo.common.tree.AbstractCARTTrainer<T>	AbstractCARTTrainer	low	low	low-medium	medium-high	4	8	0	0	3	13	102	37	7	1	8	0	0	0.825	0.732	0.867	0	0.0	
org.tribuo.common.tree.AbstractTrainingNode<T>	AbstractTrainingNode	low	low	low-medium	medium-high	2	14	5	0	3	14	67	40	9	1	10	0	0	0.883	0.75	0.917	1	0.0	
org.tribuo.common.tree.DecisionTreeTrainer<T>	DecisionTreeTrainer	low	low	low	low	0	3	0	1	1	3	4	3	0	0	3	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.common.tree.ExtraTreesTrainer<T>	ExtraTreesTrainer	low	low	low	low	2	6	3	1	0	6	35	16	0	0	4	0	1	0.0	0.45	0.0	0	0.25	
org.tribuo.common.tree.LeafNode<T>	LeafNode	low	low	low-medium	low-medium	4	8	1	0	0	7	52	19	3	1	7	0	0	0.625	0.643	0.619	0	0.0	
org.tribuo.common.tree.Node<T>	Node	low	low	low	low	1	4	0	1	3	4	5	4	0	0	4	0	0	0.0	0.375	0.0	0	0.0	
org.tribuo.common.tree.RandomForestTrainer<T>	RandomForestTrainer	low	low	low	low	2	7	4	1	0	7	39	20	0	0	4	0	1	0.0	0.45	0.0	0	0.25	
org.tribuo.common.tree.SplitNode<T>	SplitNode	low	low	low-medium	medium-high	1	12	2	0	0	11	53	33	5	1	10	0	0	0.625	0.72	0.444	0	0.0	
org.tribuo.common.tree.TreeModel<T>	TreeModel	low-medium	low-medium	low-medium	low	7	15	10	2	1	12	129	36	1	1	2	1	0	1.0	0.5	0.0	2	0.0	
<Package>org.tribuo.common.tree.impl	org.tribuo.common.tree.impl	low	low	low	low						22	94												
org.tribuo.common.tree.impl.IntArrayContainer	IntArrayContainer	low-medium	low	low-medium	low	0	7	1	0	0	22	94	79	2	0	5	2	0	0.83	0.286	0.0	0	0.0	
<Package>org.tribuo.common.xgboost	org.tribuo.common.xgboost	low	low	medium-high	low						41	641												
org.tribuo.common.xgboost.TestXGBoost	TestXGBoost	low	low	low	low	3	3	2	0	0	1	44	21	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.common.xgboost.XGBoostExternalModel<T>	XGBoostExternalModel	low-medium	low-medium	low-medium	low	8	6	2	2	0	5	115	17	2	1	3	0	0	0.1333	0.556	0.0	1	0.0	
org.tribuo.common.xgboost.XGBoostFeatureImportance	XGBoostFeatureImportance	low	low	low-medium	low	3	2	1	0	0	1	96	4	3	0	1	0	0	0.0	0.0	0.0	1	0.0	
org.tribuo.common.xgboost.XGBoostModel<T>	XGBoostModel	low	low-medium	low-medium	low	8	7	4	1	0	9	127	26	1	1	2	1	1	0.0	0.5	1.0	0	0.5	
org.tribuo.common.xgboost.XGBoostOutputConverter<T>	XGBoostOutputConverter	low	low	low	low	0	1	0	1	2	3	4	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.common.xgboost.XGBoostTrainer<T>	XGBoostTrainer	low	low-medium	low-medium	medium-high	6	12	2	0	2	13	255	61	16	0	7	3	0	0.563	0.775	1.0	0	0.0	
<Package>org.tribuo.data	org.tribuo.data	low	low	medium-high	low						22	378												
org.tribuo.data.CompletelyConfigurableTrainTest	CompletelyConfigurableTrainTest	low	low	low-medium	low	0	1	0	0	0	1	62	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.ConfigurableTrainTest	ConfigurableTrainTest	low	low	low-medium	low	0	1	0	0	0	1	80	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.DataOptions	DataOptions	low	medium-high	low-medium	low	20	14	12	0	0	15	126	88	9	0	2	0	0	0.0	0.333	1.0	3	0.0	
org.tribuo.data.DatasetExplorer	DatasetExplorer	low	low	low-medium	low	5	4	1	0	0	3	83	11	2	0	3	0	0	1.0	0.0	0.667	0	0.0	
org.tribuo.data.PreprocessAndSerialize	PreprocessAndSerialize	low	low	low	low	0	1	0	0	0	1	27	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.data.columnar	org.tribuo.data.columnar	low	low-medium	medium-high	low						66	544												
org.tribuo.data.columnar.ColumnarDataSource<T>	ColumnarDataSource	low	low	low	low	3	4	0	0	3	4	50	9	3	0	4	0	0	0.667	0.562	0.0	0	0.0	
org.tribuo.data.columnar.ColumnarFeature	ColumnarFeature	low	low	low	low	0	0	0	1	0	0	32	0	0	1	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.ColumnarIterator	ColumnarIterator	low	low	low-medium	low	0	4	1	1	3	6	54	19	0	0	4	0	0	0.0	0.5	0.0	0	0.0	
org.tribuo.data.columnar.FeatureProcessor	FeatureProcessor	low	low	low	low	0	0	0	1	1	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.FieldExtractor<T>	FieldExtractor	low	low	low	low	0	0	0	1	2	3	4	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.FieldProcessor	FieldProcessor	low	low	low	low	0	2	0	1	4	5	13	2	0	0	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.MockResponseProcessor	MockResponseProcessor	low	low	low	low	3	3	0	0	0	3	22	7	0	0	3	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.ResponseProcessor<T>	ResponseProcessor	low	low	low	low	1	1	0	1	5	4	6	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.RowProcessor<T>	RowProcessor	low	low-medium	low-medium	low	6	10	3	0	0	12	190	36	4	0	8	0	0	0.833	0.583	0.905	1	0.0	
org.tribuo.data.columnar.RowProcessorTest	RowProcessorTest	low	medium-high	low-medium	low	17	10	7	0	0	11	171	131	0	0	3	0	0	0.0	0.0	0.0	2	0.0	
<Package>org.tribuo.data.columnar.extractors	org.tribuo.data.columnar.extractors	low	low-medium	low-medium	low						22	205												
org.tribuo.data.columnar.extractors.DateExtractor	DateExtractor	low	low	low	low	1	4	1	1	0	4	39	11	0	0	3	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.extractors.DoubleExtractor	DoubleExtractor	low	low	low	low	1	2	0	1	0	2	21	4	0	0	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.extractors.FloatExtractor	FloatExtractor	low	low	low	low	1	2	0	1	0	2	21	4	0	0	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.extractors.IdentityExtractor	IdentityExtractor	low	low	low	low	1	2	0	1	0	2	19	4	0	0	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.extractors.IndexExtractor	IndexExtractor	low	low	low	low	1	2	0	0	0	2	18	4	0	0	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.extractors.IntExtractor	IntExtractor	low	low	low	low	1	2	0	1	0	2	21	4	0	0	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.extractors.OffsetDateTimeExtractor	OffsetDateTimeExtractor	low	low	low	low	1	4	1	1	0	4	34	11	0	0	3	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.extractors.SimpleFieldExtractor<T>	SimpleFieldExtractor	low	low	low	low	0	2	0	0	6	4	32	5	0	0	2	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.data.columnar.processors.feature	org.tribuo.data.columnar.processors.feature	low	low	low	low						3	52												
org.tribuo.data.columnar.processors.feature.UniqueProcessor	UniqueProcessor	low	low	low-medium	low	1	3	0	0	0	3	52	6	1	0	3	0	0	0.0	0.333	1.0	0	0.0	
<Package>org.tribuo.data.columnar.processors.field	org.tribuo.data.columnar.processors.field	low	low	low	low						13	155												
org.tribuo.data.columnar.processors.field.DoubleFieldProcessor	DoubleFieldProcessor	low	low	low	low	2	3	0	0	0	3	31	7	0	0	3	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.processors.field.IdentityProcessor	IdentityProcessor	low	low	low	low	2	3	0	0	2	3	25	7	0	1	3	0	0	0.0	0.0	1.0	0	0.0	
org.tribuo.data.columnar.processors.field.RegexFieldProcessor	RegexFieldProcessor	low	low	low-medium	low	2	4	0	0	0	4	60	10	0	0	4	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.columnar.processors.field.TextFieldProcessor	TextFieldProcessor	low	low	low	low	3	3	0	0	0	3	39	7	1	0	3	0	0	0.0	0.0	1.0	0	0.0	
<Package>org.tribuo.data.columnar.processors.response	org.tribuo.data.columnar.processors.response	low	low-medium	low-medium	low						20	184												
org.tribuo.data.columnar.processors.response.BinaryResponseProcessor<T>	BinaryResponseProcessor	low	low	low	low	2	3	0	0	0	3	35	7	1	0	3	0	0	0.0	0.0	1.0	0	0.0	
org.tribuo.data.columnar.processors.response.EmptyResponseProcessor<T>	EmptyResponseProcessor	low	low	low	low	2	4	0	0	0	4	25	9	1	0	4	0	0	0.0	0.375	0.667	0	0.0	
org.tribuo.data.columnar.processors.response.EmptyResponseProcessorTest	EmptyResponseProcessorTest	low	low	low	low	2	2	1	0	0	1	15	14	0	0	1	0	0	0.0	0.0	0.0	1	0.0	
org.tribuo.data.columnar.processors.response.FieldResponseProcessor<T>	FieldResponseProcessor	low	low	low	low	2	3	0	0	0	3	39	7	1	0	3	0	0	0.0	0.0	1.0	0	0.0	
org.tribuo.data.columnar.processors.response.Quartile	Quartile	low	low	low	low	1	6	0	0	0	6	24	14	3	0	6	0	0	0.667	0.417	0.7	0	0.0	
org.tribuo.data.columnar.processors.response.QuartileResponseProcessor<T>	QuartileResponseProcessor	low	low	low	low	3	3	0	0	0	3	46	7	2	0	3	0	0	0.0	0.0	1.0	0	0.0	
<Package>org.tribuo.data.csv	org.tribuo.data.csv	low	low-medium	medium-high	low						60	867												
org.tribuo.data.csv.CSVDataSource<T>	CSVDataSource	low	low	low-medium	low	3	4	0	1	0	5	103	14	3	0	4	0	1	0.833	0.0	0.667	0	0.25	
org.tribuo.data.csv.CSVDataSourceTest	CSVDataSourceTest	low	medium-high	low-medium	low	13	11	6	0	0	7	56	50	2	0	5	0	0	0.5	0.0	0.4	1	0.0	
org.tribuo.data.csv.CSVIterator	CSVIterator	low-medium	low	low-medium	low	1	2	1	2	0	2	85	4	2	2	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.csv.CSVIteratorTest	CSVIteratorTest	low	low	low-medium	low	2	9	3	0	0	11	109	101	0	0	6	0	0	0.0	0.0	0.0	1	0.0	
org.tribuo.data.csv.CSVLoader<T>	CSVLoader	low	low	low-medium	low	2	3	0	0	0	3	157	8	3	0	3	0	0	0.0	0.111	1.0	0	0.0	
org.tribuo.data.csv.CSVLoaderTest	CSVLoaderTest	low	medium-high	low-medium	low	10	20	11	0	0	13	101	100	0	0	10	0	0	0.0	0.45	0.0	2	0.0	
org.tribuo.data.csv.CSVLoaderWithMultiOutputsTest	CSVLoaderWithMultiOutputsTest	low	low-medium	low	low	9	14	11	0	0	3	45	44	0	0	3	0	0	0.0	0.0	0.0	3	0.0	
org.tribuo.data.csv.CSVSaver	CSVSaver	low	low	low-medium	low	1	2	0	0	0	3	84	7	2	0	2	0	0	0.0	0.25	1.0	0	0.0	
org.tribuo.data.csv.CSVSaverTest	CSVSaverTest	low	medium-high	low	low	11	13	9	0	0	5	49	48	0	0	3	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.csv.CSVSaverWithMultiOutputsTest	CSVSaverWithMultiOutputsTest	low	medium-high	low-medium	low	12	22	10	0	0	4	78	77	0	0	4	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.data.sql	org.tribuo.data.sql	low	low	low-medium	low						21	277												
org.tribuo.data.sql.ResultSetIterator	ResultSetIterator	low-medium	low	low	low	0	0	0	2	0	0	43	0	1	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.data.sql.SQLDBConfig	SQLDBConfig	low	low	low-medium	low	2	3	0	0	0	11	72	21	1	0	3	0	0	0.0	0.0	1.0	0	0.0	
org.tribuo.data.sql.SQLDataSource<T>	SQLDataSource	low	low	low-medium	low	4	4	0	1	0	7	67	20	1	0	4	0	0	0.0	0.0	1.0	0	0.0	
org.tribuo.data.sql.SQLToCSV	SQLToCSV	low	low	low-medium	low	0	0	0	0	0	0	95	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.data.text	org.tribuo.data.text	low	low-medium	medium-high	low						38	325												
