file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Data/src/test/java/org/tribuo/data/csv/CSVIteratorTest.java,org.tribuo.data.csv.CSVIteratorTest,class,10,11,1,0,17,0,6,6,0,7,0,0,0,150
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Regression/Core/src/main/java/org/tribuo/regression/evaluation/RegressionSufficientStatistics.java,org.tribuo.regression.evaluation.RegressionSufficientStatistics,class,15,10,1,0,18,0,3,1,1,8,0,0,1,90
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TensorflowTrainer.java,org.tribuo.interop.tensorflow.TensorflowTrainer,class,42,21,3,0,50,41,14,9,2,21,8,10,5,265
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Core/src/main/java/org/tribuo/SparseModel.java,org.tribuo.SparseModel,class,14,4,2,2,8,1,3,3,0,2,0,1,0,61
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Core/src/main/java/org/tribuo/evaluation/metrics/EvaluationMetric.java,org.tribuo.evaluation.metrics.EvaluationMetric,interface,12,6,1,0,4,15,6,6,0,0,0,0,0,77
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Core/src/main/java/org/tribuo/provenance/EnsembleModelProvenance.java,org.tribuo.provenance.EnsembleModelProvenance,class,18,6,2,0,5,0,6,6,0,3,0,2,0,65
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Core/src/test/java/org/tribuo/transform/TransformationMapTest.java,org.tribuo.transform.TransformationMapTest,class,31,29,1,0,23,77,13,13,2,6,6,0,11,229
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Core/src/test/java/org/tribuo/test/MockMultiOutputFactory.java,org.tribuo.test.MockMultiOutputFactory,class,29,22,1,0,13,78,13,13,4,2,1,2,6,147
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/evaluation/MultiLabelMetrics.java,org.tribuo.multilabel.evaluation.MultiLabelMetrics,enum,7,3,1,0,11,1,3,2,0,1,0,0,0,68
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Data/src/main/java/org/tribuo/data/columnar/FieldExtractor.java,org.tribuo.data.columnar.FieldExtractor,interface,6,3,1,0,0,3,3,2,0,0,0,0,0,43
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Core/src/main/java/org/tribuo/Excuse.java,org.tribuo.Excuse,class,10,5,1,1,1,0,5,5,0,3,0,0,0,68
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Data/src/main/java/org/tribuo/data/DataOptions.java,org.tribuo.data.DataOptions,class,42,17,1,0,27,0,4,3,0,15,14,1,0,205
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Data/src/main/java/org/tribuo/data/columnar/RowProcessor.java,org.tribuo.data.columnar.RowProcessor,class,56,53,1,0,64,104,25,23,0,11,0,3,0,462
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Classification/Core/src/test/java/org/tribuo/classification/TestLabelEvaluationUtil.java,org.tribuo.classification.TestLabelEvaluationUtil,class,5,7,1,0,10,0,6,6,0,1,0,1,27,158
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Core/src/main/java/org/tribuo/provenance/ConfiguredDataSourceProvenance.java,org.tribuo.provenance.ConfiguredDataSourceProvenance,interface,2,0,1,0,0,0,0,0,0,0,0,0,0,22
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/Parameters.java,org.tribuo.math.Parameters,interface,1,5,1,0,0,10,5,5,0,0,0,0,0,61
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/MultiLabel/Core/src/test/java/org/tribuo/multilabel/MultiLabelTest.java,org.tribuo.multilabel.MultiLabelTest,class,7,4,1,0,6,3,3,2,0,0,0,0,0,46
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/baseline/IndependentMultiLabelTrainer.java,org.tribuo.multilabel.baseline.IndependentMultiLabelTrainer,class,25,9,1,0,17,7,6,5,0,2,0,0,0,94
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Core/src/main/java/org/tribuo/MutableDataset.java,org.tribuo.MutableDataset,class,31,29,2,0,27,47,18,18,1,5,0,1,0,221
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Json/src/test/java/org/tribuo/json/JsonDataSourceTest.java,org.tribuo.json.JsonDataSourceTest,class,26,4,1,0,18,3,3,2,1,0,0,0,2,88
/home/antonio/Documents/GitHub/UniPD-IdS-HW2/./project/tribuo-4.0.2/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelEvaluationUtil.java,org.tribuo.classification.evaluation.LabelEvaluationUtil,class,14,20,1,0,14,24,9,7,5,10,10,0,13,200
