file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/LabelTransformer.java,org.tribuo.interop.tensorflow.LabelTransformer,class,13,28,1,23,78,0.0,0.0,13,0,9,4,0,0,9,0,0,0,2,2,0,2,0,0,2,0,2,103,13,5,8,0,4,11,17,30,6,25,2,0,0,0,79,1,0
tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TensorflowCheckpointModel.java,org.tribuo.interop.tensorflow.TensorflowCheckpointModel,class,18,10,2,23,0,0.0,0.0,8,0,4,2,1,1,6,0,0,0,6,1,0,6,0,0,4,0,5,58,4,0,2,3,0,6,2,18,2,14,1,0,0,0,102,1,0
tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TrainTest.java,org.tribuo.interop.tensorflow.TrainTest$TensorflowOptions,innerclass,3,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,10,0,10,0,0,0,0,0,0,15,1,0,0,0,0,22,3,5,0,10,0,0,0,0,41,9,0
tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TrainTest.java,org.tribuo.interop.tensorflow.TrainTest,class,29,13,1,34,0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,15,117,5,0,6,1,2,16,4,29,10,27,2,0,2,0,96,1,20
tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TrainTest.java,org.tribuo.interop.tensorflow.TrainTest$InputType,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TensorflowTrainer.java,org.tribuo.interop.tensorflow.TensorflowTrainer,class,23,15,3,34,6,0.0,0.0,8,0,7,1,0,0,7,0,0,0,16,7,6,10,0,0,7,0,5,137,4,3,2,1,1,25,10,46,5,35,4,0,1,0,169,17,1
tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TensorflowTrainer.java,org.tribuo.interop.tensorflow.TensorflowTrainer$TensorflowTrainerProvenance,innerclass,12,7,3,20,5,0.0,0.0,6,2,2,2,1,1,4,0,0,0,5,3,2,3,0,0,5,0,7,43,3,0,1,0,0,2,1,12,0,8,1,0,0,0,57,25,0
tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TensorflowCheckpointTrainer.java,org.tribuo.interop.tensorflow.TensorflowCheckpointTrainer$TensorflowCheckpointTrainerProvenance,innerclass,11,5,3,14,0,0.0,0.0,5,1,2,1,1,1,4,0,0,0,5,3,2,3,0,0,5,0,5,32,2,0,0,0,0,2,1,9,0,7,0,0,0,0,39,25,0
tribuo-4.0.2/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/TensorflowCheckpointTrainer.java,org.tribuo.interop.tensorflow.TensorflowCheckpointTrainer,class,22,14,3,35,7,0.0,0.0,7,0,6,1,0,0,6,0,0,0,11,2,1,10,0,0,2,0,5,118,4,3,1,2,1,27,9,34,8,30,4,0,1,0,163,17,1
tribuo-4.0.2/Interop/ONNX/src/test/java/org/tribuo/interop/onnx/TestOnnxRuntime.java,org.tribuo.interop.onnx.TestOnnxRuntime,class,18,9,1,18,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,76,0,6,0,3,1,15,25,43,1,43,2,0,0,0,85,1,0
