"filename", "language", "XML", "Markdown", "YAML", "Java", "JSON", "Shell Script", "Python", "Jupyter", "comment", "blank", "total"
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/la/Matrix.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 99, 17, 132
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/la/MatrixIterator.java", "Java", 0, 0, 0, 17, 0, 0, 0, 0, 26, 7, 50
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/la/MatrixTuple.java", "Java", 0, 0, 0, 38, 0, 0, 0, 0, 20, 11, 69
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/la/SGDVector.java", "Java", 0, 0, 0, 44, 0, 0, 0, 0, 141, 29, 214
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/la/SparseVector.java", "Java", 0, 0, 0, 772, 0, 0, 0, 0, 144, 85, 1001
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/la/Tensor.java", "Java", 0, 0, 0, 38, 0, 0, 0, 0, 75, 16, 129
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/la/VectorIterator.java", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 25, 7, 43
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/la/VectorTuple.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 20, 11, 68
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/la/package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 26, 1, 28
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/AdaDelta.java", "Java", 0, 0, 0, 59, 0, 0, 0, 0, 39, 17, 115
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/AdaGrad.java", "Java", 0, 0, 0, 64, 0, 0, 0, 0, 35, 19, 118
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/AdaGradRDA.java", "Java", 0, 0, 0, 348, 0, 0, 0, 0, 52, 61, 461
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/Adam.java", "Java", 0, 0, 0, 74, 0, 0, 0, 0, 45, 22, 141
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/GradientOptimiserOptions.java", "Java", 0, 0, 0, 73, 0, 0, 0, 0, 25, 15, 113
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/ParameterAveraging.java", "Java", 0, 0, 0, 58, 0, 0, 0, 0, 44, 15, 117
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/Pegasos.java", "Java", 0, 0, 0, 79, 0, 0, 0, 0, 37, 17, 133
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/RMSProp.java", "Java", 0, 0, 0, 88, 0, 0, 0, 0, 35, 24, 147
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/SGD.java", "Java", 0, 0, 0, 171, 0, 0, 0, 0, 105, 47, 323
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 28, 1, 30
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/util/ShrinkingMatrix.java", "Java", 0, 0, 0, 146, 0, 0, 0, 0, 21, 23, 190
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/util/ShrinkingTensor.java", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 18, 7, 31
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/util/ShrinkingVector.java", "Java", 0, 0, 0, 170, 0, 0, 0, 0, 20, 31, 221
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/optimisers/util/package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 18, 1, 20
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 24, 1, 26
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/util/ExpNormalizer.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 18, 6, 48
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/util/HeapMerger.java", "Java", 0, 0, 0, 91, 0, 0, 0, 0, 37, 22, 150
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/util/MatrixHeapMerger.java", "Java", 0, 0, 0, 83, 0, 0, 0, 0, 30, 19, 132
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/util/Merger.java", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 32, 8, 48
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/util/NoopNormalizer.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 18, 6, 34
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/util/Normalizer.java", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 18, 6, 50
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/util/VectorNormalizer.java", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 23, 6, 34
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/main/java/org/tribuo/math/util/package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 23, 1, 25
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/test/java/org/tribuo/math/la/DenseMatrixTest.java", "Java", 0, 0, 0, 1111, 0, 0, 0, 0, 74, 182, 1367
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/test/java/org/tribuo/math/la/DenseVectorTest.java", "Java", 0, 0, 0, 154, 0, 0, 0, 0, 30, 40, 224
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/test/java/org/tribuo/math/la/SparseVectorTest.java", "Java", 0, 0, 0, 588, 0, 0, 0, 0, 18, 134, 740
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/test/java/org/tribuo/math/la/VectorDistanceTest.java", "Java", 0, 0, 0, 86, 0, 0, 0, 0, 33, 29, 148
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/Math/src/test/java/org/tribuo/math/util/MergerTest.java", "Java", 0, 0, 0, 122, 0, 0, 0, 0, 18, 57, 197
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/pom.xml", "XML", 71, 0, 0, 0, 0, 0, 0, 0, 16, 4, 91
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/ImmutableMultiLabelInfo.java", "Java", 0, 0, 0, 135, 0, 0, 0, 0, 23, 30, 188
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/MultiLabel.java", "Java", 0, 0, 0, 175, 0, 0, 0, 0, 156, 33, 364
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/MultiLabelFactory.java", "Java", 0, 0, 0, 110, 0, 0, 0, 0, 45, 29, 184
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/MultiLabelInfo.java", "Java", 0, 0, 0, 90, 0, 0, 0, 0, 40, 21, 151
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/MutableMultiLabelInfo.java", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 33, 11, 97
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/baseline/BinaryExample.java", "Java", 0, 0, 0, 67, 0, 0, 0, 0, 19, 19, 105
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/baseline/IndependentMultiLabelModel.java", "Java", 0, 0, 0, 73, 0, 0, 0, 0, 42, 11, 126
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/baseline/IndependentMultiLabelTrainer.java", "Java", 0, 0, 0, 66, 0, 0, 0, 0, 28, 14, 108
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/baseline/package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 20, 1, 22
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/evaluation/MultiLabelConfusionMatrix.java", "Java", 0, 0, 0, 168, 0, 0, 0, 0, 74, 30, 272
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/evaluation/MultiLabelEvaluation.java", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 20, 4, 28
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/evaluation/MultiLabelEvaluationImpl.java", "Java", 0, 0, 0, 196, 0, 0, 0, 0, 31, 40, 267
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/evaluation/MultiLabelEvaluator.java", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 28, 11, 92
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/evaluation/MultiLabelMetric.java", "Java", 0, 0, 0, 72, 0, 0, 0, 0, 19, 18, 109
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/evaluation/MultiLabelMetrics.java", "Java", 0, 0, 0, 25, 0, 0, 0, 0, 43, 9, 77
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/evaluation/package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 22, 1, 24
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/example/MultiLabelDataGenerator.java", "Java", 0, 0, 0, 86, 0, 0, 0, 0, 29, 25, 140
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/example/package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 18, 1, 20
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/main/java/org/tribuo/multilabel/package-info.java", "Java", 0, 0, 0, 1, 0, 0, 0, 0, 22, 1, 24
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.2/MultiLabel/Core/src/test/java/org/tribuo/multilabel/IndependentMultiLabelTest.java", "Java", 0, 0, 0, 41, 0, 0, 0, 0, 18, 12, 71
