file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
tribuo-4.1.0/Json/src/test/java/org/tribuo/json/JsonDataSourceTest.java,org.tribuo.json.JsonDataSourceTest,class,22,4,1,17,3,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,39,1,0,0,1,0,19,2,15,0,15,1,0,0,0,81,1,0
tribuo-4.1.0/Json/src/main/java/org/tribuo/json/JsonDataSource.java,org.tribuo.json.JsonDataSource,class,11,9,3,7,0,0.0,0.0,8,0,6,2,0,0,6,0,0,0,4,1,0,4,0,0,1,0,2,86,3,0,0,1,0,5,0,6,1,4,1,0,1,0,76,1,0
tribuo-4.1.0/Json/src/main/java/org/tribuo/json/JsonDataSource.java,org.tribuo.json.JsonDataSource$JsonDataSourceProvenance,innerclass,12,11,2,19,1,0.0,0.0,7,1,4,1,1,1,6,0,0,0,4,1,0,4,0,0,4,0,6,48,7,0,3,0,0,1,1,13,0,10,1,0,0,0,59,9,0
tribuo-4.1.0/Json/src/main/java/org/tribuo/json/StripProvenance.java,org.tribuo.json.StripProvenance$StripProvenanceOptions,innerclass,4,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,6,0,6,0,0,0,0,0,1,11,1,0,0,0,0,13,0,2,0,6,0,0,0,0,39,9,0
tribuo-4.1.0/Json/src/main/java/org/tribuo/json/StripProvenance.java,org.tribuo.json.StripProvenance,class,22,36,1,44,4,NaN,NaN,5,4,1,4,0,0,1,0,0,0,1,1,0,1,0,0,1,0,6,201,5,1,3,3,2,30,1,54,8,45,3,0,3,0,180,17,13
tribuo-4.1.0/Json/src/main/java/org/tribuo/json/StripProvenance.java,org.tribuo.json.StripProvenance$ProvenanceTypes,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
tribuo-4.1.0/Json/src/main/java/org/tribuo/json/StripProvenance.java,org.tribuo.json.StripProvenance$ModelTuple,innerclass,4,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,15,10,0
tribuo-4.1.0/Json/src/main/java/org/tribuo/json/JsonFileIterator.java,org.tribuo.json.JsonFileIterator,class,10,11,3,21,0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,4,1,0,4,0,0,3,0,10,70,3,0,0,2,0,7,1,14,3,12,4,0,0,0,81,1,0
tribuo-4.1.0/Json/src/main/java/org/tribuo/json/JsonUtil.java,org.tribuo.json.JsonUtil,class,3,6,1,12,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,25,2,1,2,0,0,3,0,4,1,4,4,0,0,0,64,17,0
tribuo-4.1.0/Common/Trees/src/main/java/org/tribuo/common/tree/LeafNode.java,org.tribuo.common.tree.LeafNode,class,7,17,1,14,0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,5,1,0,5,0,0,5,0,3,56,13,1,5,0,0,6,2,9,1,8,3,0,0,0,80,1,0
tribuo-4.1.0/Common/Trees/src/main/java/org/tribuo/common/tree/TreeModel.java,org.tribuo.common.tree.TreeModel,class,16,37,3,42,0,0.0,0.0,11,2,6,1,3,1,10,0,0,0,2,1,0,2,0,0,2,0,9,157,9,9,7,0,7,4,11,49,6,43,4,0,0,1,113,1,0
tribuo-4.1.0/Common/Trees/src/main/java/org/tribuo/common/tree/SplitNode.java,org.tribuo.common.tree.SplitNode,class,5,19,1,7,0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,6,1,0,6,0,0,6,0,3,57,14,0,6,0,0,6,3,8,1,8,1,0,0,0,77,1,0
tribuo-4.1.0/Common/Trees/src/main/java/org/tribuo/common/tree/AbstractCARTTrainer.java,org.tribuo.common.tree.AbstractCARTTrainer,class,20,24,3,28,16,0.0,0.0,9,0,7,0,2,0,9,1,0,1,9,1,1,0,8,0,1,0,6,109,6,4,2,0,5,13,14,33,3,25,3,0,1,0,161,1025,0
tribuo-4.1.0/Common/Trees/src/main/java/org/tribuo/common/tree/AbstractCARTTrainer.java,org.tribuo.common.tree.AbstractCARTTrainer$AbstractCARTTrainerProvenance,innerclass,5,2,3,0,1,0.0,0.0,2,0,0,0,2,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,1036,0
tribuo-4.1.0/Common/Trees/src/main/java/org/tribuo/common/tree/RandomForestTrainer.java,org.tribuo.common.tree.RandomForestTrainer,class,8,9,2,11,15,0.0,0.0,6,0,4,1,1,0,5,0,0,0,1,1,0,1,0,0,1,0,1,43,2,0,1,0,1,19,1,3,2,3,1,0,0,0,106,1,0
