file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
tribuo-4.1.0/Classification/SGD/src/main/java/org/tribuo/classification/sgd/crf/CRFParameters.java,org.tribuo.classification.sgd.crf.CRFParameters,class,25,33,1,0,26,25,15,14,0,8,0,2,5,302
tribuo-4.1.0/Classification/Explanations/src/main/java/org/tribuo/classification/explanations/lime/LIMEExplanation.java,org.tribuo.classification.explanations.lime.LIMEExplanation,class,9,7,1,0,7,0,7,7,0,4,0,1,0,80
tribuo-4.1.0/Core/src/main/java/org/tribuo/impl/ListExample.java,org.tribuo.impl.ListExample,class,31,54,2,0,40,0,25,22,0,3,0,2,1,275
tribuo-4.1.0/Regression/Core/src/main/java/org/tribuo/regression/MutableRegressionInfo.java,org.tribuo.regression.MutableRegressionInfo,class,12,16,2,0,22,21,7,6,0,1,0,1,0,107
tribuo-4.1.0/Math/src/test/java/org/tribuo/math/la/SparseVectorTest.java,org.tribuo.math.la.SparseVectorTest,class,20,72,3,0,68,990,45,25,10,0,0,0,81,622
tribuo-4.1.0/Regression/LibSVM/src/test/java/org/tribuo/regression/libsvm/TestLibSVM.java,org.tribuo.regression.libsvm.TestLibSVM,class,15,10,1,0,22,25,10,10,2,4,0,4,9,105
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/text/impl/TextFeatureExtractorImpl.java,org.tribuo.data.text.impl.TextFeatureExtractorImpl,class,12,5,1,0,3,4,5,4,0,1,0,0,0,57
tribuo-4.1.0/Core/src/main/java/org/tribuo/VariableInfo.java,org.tribuo.VariableInfo,interface,5,6,1,0,0,15,6,6,0,0,0,0,0,60
tribuo-4.1.0/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/sequence/SequenceFeatureConverter.java,org.tribuo.interop.tensorflow.sequence.SequenceFeatureConverter,interface,10,3,1,0,0,3,3,0,0,0,0,0,0,54
tribuo-4.1.0/Classification/SGD/src/main/java/org/tribuo/classification/sgd/linear/LinearSGDModel.java,org.tribuo.classification.sgd.linear.LinearSGDModel,class,19,9,4,0,9,4,5,1,0,3,0,1,0,101
tribuo-4.1.0/Common/Trees/src/main/java/org/tribuo/common/tree/SplitNode.java,org.tribuo.common.tree.SplitNode,class,7,16,1,0,7,0,12,12,0,6,0,1,0,120
tribuo-4.1.0/Util/Tokenization/src/main/java/org/tribuo/util/tokens/impl/NonTokenizer.java,org.tribuo.util.tokens.impl.NonTokenizer,class,12,16,1,0,3,0,9,9,0,2,0,0,0,93
tribuo-4.1.0/Core/src/main/java/org/tribuo/sequence/SequenceModelExplorer.java,org.tribuo.sequence.SequenceModelExplorer,class,22,21,1,0,21,39,14,14,2,4,1,1,0,142
tribuo-4.1.0/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelEvaluator.java,org.tribuo.classification.evaluation.LabelEvaluator,class,19,5,2,0,7,3,3,0,0,0,0,0,2,96
tribuo-4.1.0/Regression/LibLinear/src/test/java/org/tribuo/regression/liblinear/TestLibLinear.java,org.tribuo.regression.liblinear.TestLibLinear,class,14,10,1,0,22,25,10,10,2,1,0,1,9,98
tribuo-4.1.0/Regression/Core/src/test/java/org/tribuo/regression/ensemble/AveragingCombinerTest.java,org.tribuo.regression.ensemble.AveragingCombinerTest,class,21,4,1,0,18,0,4,2,2,7,0,7,10,116
tribuo-4.1.0/Util/Tokenization/src/main/java/org/tribuo/util/tokens/options/CoreTokenizerOptions.java,org.tribuo.util.tokens.options.CoreTokenizerOptions,class,15,7,1,0,6,0,1,1,0,5,4,1,0,90
tribuo-4.1.0/Regression/LibLinear/src/main/java/org/tribuo/regression/liblinear/TrainTest.java,org.tribuo.regression.liblinear.TrainTest,class,18,6,1,0,17,0,2,2,1,7,6,1,2,98
tribuo-4.1.0/Regression/SGD/src/main/java/org/tribuo/regression/sgd/linear/LinearSGDTrainer.java,org.tribuo.regression.sgd.linear.LinearSGDTrainer,class,17,11,3,0,9,16,9,4,0,2,0,1,1,119
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/text/impl/TokenPipeline.java,org.tribuo.data.text.impl.TokenPipeline,class,22,14,1,0,11,5,7,6,0,8,0,1,0,139
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/PreprocessAndSerialize.java,org.tribuo.data.PreprocessAndSerialize,class,11,5,1,0,11,0,2,1,1,3,2,1,0,70
tribuo-4.1.0/Util/InformationTheory/src/main/java/org/tribuo/util/infotheory/impl/PairDistribution.java,org.tribuo.util.infotheory.impl.PairDistribution,class,22,9,1,0,12,3,6,6,4,4,4,0,2,105
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/text/impl/SimpleStringDataSource.java,org.tribuo.data.text.impl.SimpleStringDataSource,class,32,17,4,0,21,42,13,7,1,5,0,2,1,144
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/text/impl/BasicPipeline.java,org.tribuo.data.text.impl.BasicPipeline,class,18,9,1,0,9,7,6,5,0,5,0,1,0,80
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/columnar/processors/response/FieldResponseProcessor.java,org.tribuo.data.columnar.processors.response.FieldResponseProcessor,class,12,11,1,0,6,10,8,7,0,3,0,0,0,85
tribuo-4.1.0/Classification/XGBoost/src/test/java/org/tribuo/classification/xgboost/TestXGBoostExternalModel.java,org.tribuo.classification.xgboost.TestXGBoostExternalModel,class,16,6,1,0,16,1,2,2,0,0,0,0,3,85
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/la/Tensor.java,org.tribuo.math.la.Tensor,interface,4,15,1,0,6,66,12,12,2,0,0,0,0,113
tribuo-4.1.0/Regression/Core/src/main/java/org/tribuo/regression/evaluation/RegressionSufficientStatistics.java,org.tribuo.regression.evaluation.RegressionSufficientStatistics,class,15,10,1,0,18,0,3,1,1,8,0,0,1,90
tribuo-4.1.0/Util/InformationTheory/src/main/java/org/tribuo/util/infotheory/InformationTheory.java,org.tribuo.util.infotheory.InformationTheory,class,42,54,1,0,42,232,25,20,20,11,10,6,20,500
tribuo-4.1.0/Util/Tokenization/src/main/java/org/tribuo/util/tokens/Token.java,org.tribuo.util.tokens.Token,class,2,4,1,0,0,0,4,4,0,4,4,0,0,120
tribuo-4.1.0/Util/Tokenization/src/test/java/org/tribuo/util/tokens/TokenizerTestBase.java,org.tribuo.util.tokens.TokenizerTestBase,class,4,9,1,11,15,1,2,0,0,0,0,0,0,89
tribuo-4.1.0/Interop/Tensorflow/src/main/java/org/tribuo/interop/tensorflow/example/CNNExamples.java,org.tribuo.interop.tensorflow.example.CNNExamples,class,21,5,1,0,32,1,2,1,1,0,0,0,0,123
tribuo-4.1.0/Classification/SGD/src/main/java/org/tribuo/classification/sgd/TrainTest.java,org.tribuo.classification.sgd.TrainTest,class,11,3,1,0,7,0,2,2,1,4,3,1,1,55
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/optimisers/util/ShrinkingTensor.java,org.tribuo.math.optimisers.util.ShrinkingTensor,interface,1,1,1,0,0,0,1,1,0,1,1,1,0,24
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/LinearParameters.java,org.tribuo.math.LinearParameters,class,14,17,1,0,10,0,11,11,0,4,0,2,0,138
tribuo-4.1.0/Util/Tokenization/src/main/java/org/tribuo/util/tokens/options/TokenizerOptions.java,org.tribuo.util.tokens.options.TokenizerOptions,interface,2,1,1,0,0,0,1,0,0,0,0,0,0,28
tribuo-4.1.0/Classification/SGD/src/main/java/org/tribuo/classification/sgd/crf/SeqTest.java,org.tribuo.classification.sgd.crf.SeqTest,class,27,13,1,0,35,0,2,2,1,13,12,1,5,174
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/util/Normalizer.java,org.tribuo.math.util.Normalizer,class,4,6,1,0,2,1,2,2,0,1,0,1,0,48
tribuo-4.1.0/Core/src/main/java/org/tribuo/evaluation/KFoldSplitter.java,org.tribuo.evaluation.KFoldSplitter,class,17,11,1,0,9,0,4,3,0,8,2,1,1,125
tribuo-4.1.0/Classification/DecisionTree/src/test/java/org/tribuo/classification/dtree/TestClassificationEnsembles.java,org.tribuo.classification.dtree.TestClassificationEnsembles,class,24,12,1,0,31,58,12,12,1,7,0,7,9,173
tribuo-4.1.0/Core/src/main/java/org/tribuo/provenance/impl/TrainerProvenanceImpl.java,org.tribuo.provenance.impl.TrainerProvenanceImpl,class,7,3,3,0,1,3,3,3,0,1,0,1,1,58
tribuo-4.1.0/Core/src/test/java/org/tribuo/test/ImmutableMockMultiOutputInfo.java,org.tribuo.test.ImmutableMockMultiOutputInfo,class,19,17,2,0,15,16,12,12,0,3,0,0,0,110
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/columnar/extractors/IndexExtractor.java,org.tribuo.data.columnar.extractors.IndexExtractor,class,10,7,1,0,3,13,6,6,0,1,0,0,0,61
tribuo-4.1.0/Classification/SGD/src/test/java/org/tribuo/classification/sgd/linear/TestSGDLinear.java,org.tribuo.classification.sgd.linear.TestSGDLinear,class,27,11,1,0,38,30,9,9,2,1,0,1,10,134
