QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI
org.tribuo.classification.ensemble.VotingCombiner	VotingCombiner	low	low	low-medium	low	1	2	0	0	0	2	56	4	0	1	2	0	0	0.0	0.0	0.0	0	0.0
<Package>org.tribuo.classification.evaluation	org.tribuo.classification.evaluation	low	medium-high	medium-high	low						177	1153											
org.tribuo.classification.evaluation.ClassifierEvaluation<T>	ClassifierEvaluation	low-medium	low	low-medium	low	1	24	0	1	2	24	25	24	0	0	24	0	0	0.0	333	0.0	0	0.0
org.tribuo.classification.evaluation.ConfusionMatrix<T>	ConfusionMatrix	low	low	low	low	1	12	1	1	2	13	22	12	0	0	12	0	0	0.0	0.25	0.0	0	0.0
org.tribuo.classification.evaluation.ConfusionMetrics	ConfusionMetrics	low-medium	low	low-medium	low-medium	4	29	13	0	0	33	106	75	0	0	1	21	0	0.0	0.63	0.0	0	0.0
org.tribuo.classification.evaluation.ConfusionMetricsTest	ConfusionMetricsTest	low	low	low	low	5	11	4	0	0	1	17	16	0	0	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.evaluation.EvaluationAggregationTests	EvaluationAggregationTests	low	medium-high	low-medium	low	16	34	19	0	0	10	152	144	0	1	3	5	0	0.0	0.0	0.25	1	0.0
org.tribuo.classification.evaluation.LabelConfusionMatrix	LabelConfusionMatrix	low	low	low-medium	low	3	12	4	0	0	14	131	41	3	0	9	0	0	833	111	964	0	0.0
org.tribuo.classification.evaluation.LabelConfusionMatrixTest	LabelConfusionMatrixTest	low	low	low	low	4	13	8	0	0	1	38	37	0	0	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.evaluation.LabelEvaluation	LabelEvaluation	low	low	low-medium	low	2	6	0	1	1	9	105	6	0	0	6	0	0	0.0	389	0.0	0	0.0
org.tribuo.classification.evaluation.LabelEvaluationImpl	LabelEvaluationImpl	low-medium	low-medium	medium-high	medium-high	10	41	8	0	0	39	138	115	4	0	34	0	0	833	0.74	987	0	0.0
org.tribuo.classification.evaluation.LabelEvaluationUtil	LabelEvaluationUtil	low	low	low-medium	low	2	11	7	0	0	17	98	71	0	0	1	5	0	0.0	111	0.0	0	0.0
org.tribuo.classification.evaluation.LabelEvaluator	LabelEvaluator	low	low	low	low	0	0	0	1	0	0	45	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.evaluation.LabelEvaluatorTest	LabelEvaluatorTest	low	low-medium	low-medium	low	8	24	19	0	0	5	162	161	0	0	5	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.evaluation.LabelMetric	LabelMetric	low	low	low	low	1	3	0	0	0	3	48	9	1	0	3	0	0	0.0	333	0.0	0	0.0
org.tribuo.classification.evaluation.LabelMetrics	LabelMetrics	low	low	low-medium	low	2	1	0	0	0	1	55	2	0	11	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.evaluation.TestUtils	TestUtils	low	low	low	low	0	0	0	0	0	0	11	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
<Package>org.tribuo.classification.example	org.tribuo.classification.example	low	low	low	low						9	160											
org.tribuo.classification.example.LabelledDataGenerator	LabelledDataGenerator	low	low-medium	low-medium	low	8	15	4	0	0	9	160	158	0	1	1	8	0	0.0	333	893	0	0.0
<Package>org.tribuo.classification.experiments	org.tribuo.classification.experiments	low	low	low-medium	low						23	357											
org.tribuo.classification.experiments.AllTrainerOptions	AllTrainerOptions	low	medium-high	low-medium	low	12	20	10	0	0	13	59	43	11	0	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.experiments.ConfigurableTrainTest	ConfigurableTrainTest	low	low	low-medium	low	0	0	0	0	0	0	97	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.experiments.RunAll	RunAll	low	low	low-medium	low	0	0	0	0	0	0	57	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.experiments.Test	Test	low	medium-high	low-medium	low	15	13	5	0	0	10	128	52	0	0	0	1	0	0.0	0.0	0.0	1	0.0
