"filename", "language", "XML", "Jupyter", "YAML", "Markdown", "Java", "Shell Script", "Python", "JSON", "comment", "blank", "total"
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/pom.xml", "XML", 55, 0, 0, 0, 0, 0, 0, 0, 15, 4, 74
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/Classifiable.java", "Java", 0, 0, 0, 0, 3, 0, 0, 0, 19, 4, 26
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/ClassificationOptions.java", "Java", 0, 0, 0, 0, 6, 0, 0, 0, 24, 6, 36
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/ImmutableLabelInfo.java", "Java", 0, 0, 0, 0, 132, 0, 0, 0, 35, 28, 195
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/Label.java", "Java", 0, 0, 0, 0, 60, 0, 0, 0, 49, 19, 128
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/LabelFactory.java", "Java", 0, 0, 0, 0, 75, 0, 0, 0, 43, 27, 145
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/LabelInfo.java", "Java", 0, 0, 0, 0, 88, 0, 0, 0, 38, 20, 146
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/MutableLabelInfo.java", "Java", 0, 0, 0, 0, 47, 0, 0, 0, 23, 11, 81
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/TrainTestHelper.java", "Java", 0, 0, 0, 0, 49, 0, 0, 0, 29, 18, 96
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/WeightedLabels.java", "Java", 0, 0, 0, 0, 6, 0, 0, 0, 24, 9, 39
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/baseline/DummyClassifierModel.java", "Java", 0, 0, 0, 0, 125, 0, 0, 0, 40, 28, 193
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/baseline/DummyClassifierTrainer.java", "Java", 0, 0, 0, 0, 104, 0, 0, 0, 38, 20, 162
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/baseline/package-info.java", "Java", 0, 0, 0, 0, 1, 0, 0, 0, 21, 1, 23
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/ensemble/AdaBoostTrainer.java", "Java", 0, 0, 0, 0, 157, 0, 0, 0, 58, 26, 241
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/ensemble/ClassificationEnsembleOptions.java", "Java", 0, 0, 0, 0, 42, 0, 0, 0, 18, 8, 68
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/ensemble/FullyWeightedVotingCombiner.java", "Java", 0, 0, 0, 0, 89, 0, 0, 0, 21, 16, 126
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/ensemble/VotingCombiner.java", "Java", 0, 0, 0, 0, 81, 0, 0, 0, 21, 16, 118
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/ensemble/package-info.java", "Java", 0, 0, 0, 0, 1, 0, 0, 0, 19, 1, 21
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/ClassifierEvaluation.java", "Java", 0, 0, 0, 0, 29, 0, 0, 0, 151, 29, 209
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/ConfusionMatrix.java", "Java", 0, 0, 0, 0, 33, 0, 0, 0, 95, 18, 146
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/ConfusionMetrics.java", "Java", 0, 0, 0, 0, 150, 0, 0, 0, 265, 36, 451
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelConfusionMatrix.java", "Java", 0, 0, 0, 0, 179, 0, 0, 0, 75, 31, 285
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelEvaluation.java", "Java", 0, 0, 0, 0, 126, 0, 0, 0, 98, 15, 239
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelEvaluationImpl.java", "Java", 0, 0, 0, 0, 190, 0, 0, 0, 40, 43, 273
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelEvaluationUtil.java", "Java", 0, 0, 0, 0, 127, 0, 0, 0, 73, 35, 235
